formula,activity,syngony,length,width,depth,surface,km_value,km_unit,vmax_value,vmax_unit,target_source,reaction_type,c_min,c_max,c_const,c_const_unit,ccat_value,ccat_unit,ph,temperature,doi,pdf,access,title,journal,year
Ir,peroxidase,NOT_DETECTED,2.4,2.4,2.4,naked,0.12,mM,12.56,10-8 M s-1,text,TMB + H2O2,NOT_DETECTED,NOT_DETECTED,2,mM,0.12,μg/mL,4.0,20,10.1039/d0ra05342b,d0ra05342b.pdf,0,Dual enzyme-like activity of iridium nanoparticles and their applications for the detection of glucose and glutathione,RSC Advances,2020
Ir,peroxidase,NOT_DETECTED,2.4,2.4,2.4,naked,3.27,mM,22.57,10-8 M s-1,text,H2O2 + TMB,NOT_DETECTED,NOT_DETECTED,0.25,mM,0.12,μg/mL,4.0,20,10.1039/d0ra05342b,d0ra05342b.pdf,0,Dual enzyme-like activity of iridium nanoparticles and their applications for the detection of glucose and glutathione,RSC Advances,2020
Pd-Ir,peroxidase,cubic,3.3,3.3,3.3,polyvinylpyrrolidone,0.022,mM,0.00156,mM/min,,TMB + H2O2,NOT_DETECTED,NOT_DETECTED,2.0,M,0.034,μg/mL,4.0,25,10.1002/cbic.202000147,CBIC.202000147,0,Size Effect in Pd-Ir Core-Shell Nanoparticles as Nanozymes,ChemBioChem,2020
Pd-Ir,peroxidase,cubic,5.9,5.9,5.9,polyvinylpyrrolidone,0.025,mM,0.00247,mM/min,,TMB + H2O2,NOT_DETECTED,NOT_DETECTED,2.0,M,0.025,μg/mL,4.0,25,10.1002/cbic.202000147,CBIC.202000147,0,Size Effect in Pd-Ir Core-Shell Nanoparticles as Nanozymes,ChemBioChem,2020
Pd-Ir,peroxidase,cubic,9.8,9.8,9.8,polyvinylpyrrolidone,0.021,mM,0.00376,mM/min,,TMB + H2O2,NOT_DETECTED,NOT_DETECTED,2.0,M,0.017,μg/mL,4.0,25,10.1002/cbic.202000147,CBIC.202000147,0,Size Effect in Pd-Ir Core-Shell Nanoparticles as Nanozymes,ChemBioChem,2020
Pd-Ir,peroxidase,cubic,13.0,13.0,13.0,polyvinylpyrrolidone,0.018,mM,0.00513,mM/min,,TMB + H2O2,NOT_DETECTED,NOT_DETECTED,2.0,M,0.012,μg/mL,4.0,25,10.1002/cbic.202000147,CBIC.202000147,0,Size Effect in Pd-Ir Core-Shell Nanoparticles as Nanozymes,ChemBioChem,2020
Fe2O3,peroxidase,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,146.7,mM,6.37,10-8 M s-1,text,H2O2,NOT_DETECTED,NOT_DETECTED,800,μM,1,μg,3.5,25,10.1039/C8TB01132J,C8TB01132J,0,Porous nanozymes: peroxidase-mimetic activity of mesoporous iron oxide for colorimetric and electrochemical detection of global DNA methylation,Journal of Materials Chemistry B,2018
Fe2O3,peroxidase,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,0.298,mM,7.36,10-8 M s-1,text,TMB,NOT_DETECTED,NOT_DETECTED,700,mM,1,μg,3.5,25,10.1039/C8TB01132J,C8TB01132J,0,Porous nanozymes: peroxidase-mimetic activity of mesoporous iron oxide for colorimetric and electrochemical detection of global DNA methylation,Journal of Materials Chemistry B,2018
HRP,peroxidase,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,3.7,mM,10,10-8 M s-1,text,H2O2,NOT_DETECTED,NOT_DETECTED,800,μM,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,10.1039/C8TB01132J,C8TB01132J,0,Porous nanozymes: peroxidase-mimetic activity of mesoporous iron oxide for colorimetric and electrochemical detection of global DNA methylation,Journal of Materials Chemistry B,2018
HRP,peroxidase,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,0.434,mM,8.71,10-8 M s-1,text,TMB,NOT_DETECTED,NOT_DETECTED,700,mM,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,10.1039/C8TB01132J,C8TB01132J,0,Porous nanozymes: peroxidase-mimetic activity of mesoporous iron oxide for colorimetric and electrochemical detection of global DNA methylation,Journal of Materials Chemistry B,2018
Prussian Blue-Fe2O3,peroxidase,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,323.6,mM,117,10-8 M s-1,text,H2O2,NOT_DETECTED,NOT_DETECTED,800,μM,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,10.1039/C8TB01132J,C8TB01132J,0,Porous nanozymes: peroxidase-mimetic activity of mesoporous iron oxide for colorimetric and electrochemical detection of global DNA methylation,Journal of Materials Chemistry B,2018
Prussian Blue-Fe2O3,peroxidase,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,0.307,mM,106,10-8 M s-1,text,TMB,NOT_DETECTED,NOT_DETECTED,700,mM,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,10.1039/C8TB01132J,C8TB01132J,0,Porous nanozymes: peroxidase-mimetic activity of mesoporous iron oxide for colorimetric and electrochemical detection of global DNA methylation,Journal of Materials Chemistry B,2018
ZnFe2O4,peroxidase,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,1.66,mM,7.74,10-8 M s-1,text,H2O2,NOT_DETECTED,NOT_DETECTED,800,μM,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,10.1039/C8TB01132J,C8TB01132J,0,Porous nanozymes: peroxidase-mimetic activity of mesoporous iron oxide for colorimetric and electrochemical detection of global DNA methylation,Journal of Materials Chemistry B,2018
ZnFe2O4,peroxidase,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,0.85,mM,13.31,10-8 M s-1,text,TMB,NOT_DETECTED,NOT_DETECTED,700,mM,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,10.1039/C8TB01132J,C8TB01132J,0,Porous nanozymes: peroxidase-mimetic activity of mesoporous iron oxide for colorimetric and electrochemical detection of global DNA methylation,Journal of Materials Chemistry B,2018
CuZnFeS,peroxidase,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,0.07,mM,0.56,10-8 M s-1,text,H2O2,NOT_DETECTED,NOT_DETECTED,800,μM,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,10.1039/C8TB01132J,C8TB01132J,0,Porous nanozymes: peroxidase-mimetic activity of mesoporous iron oxide for colorimetric and electrochemical detection of global DNA methylation,Journal of Materials Chemistry B,2018
CuZnFeS,peroxidase,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,2.2,mM,39,10-8 M s-1,text,TMB,NOT_DETECTED,NOT_DETECTED,700,mM,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,10.1039/C8TB01132J,C8TB01132J,0,Porous nanozymes: peroxidase-mimetic activity of mesoporous iron oxide for colorimetric and electrochemical detection of global DNA methylation,Journal of Materials Chemistry B,2018
Au,peroxidase,cubic,13,13,13,citrate,1.831,mM,1.097e-07,M/s,,TMB + H2O2,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,4,25,10.1016/j.jcis.2021.06.170,J.JCIS.2021.06.170,0,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021
Au,peroxidase,cubic,13,13,13,citrate,3.133,mM,1.011e-07,M/s,,H2O2 + TMB,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,4,25,10.1016/j.jcis.2021.06.170,J.JCIS.2021.06.170,0,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021
Au@Pt3.15,peroxidase,cubic,25,25,25,NOT_DETECTED,0.158,mM,3.843e-06,M/s,,TMB + H2O2,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,4,25,10.1016/j.jcis.2021.06.170,J.JCIS.2021.06.170,0,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021
Au@Pt3.15,peroxidase,cubic,25,25,25,NOT_DETECTED,6.794,mM,1.3262e-05,M/s,,H2O2 + TMB,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,4,25,10.1016/j.jcis.2021.06.170,J.JCIS.2021.06.170,0,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021
Pt,peroxidase,cubic,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,1.47,mM,5.16e-06,M/s,,TMB + H2O2,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,10.1016/j.jcis.2021.06.170,J.JCIS.2021.06.170,0,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021
Pt,peroxidase,cubic,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,3.3,mM,1.87e-06,M/s,,H2O2 + TMB,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,10.1016/j.jcis.2021.06.170,J.JCIS.2021.06.170,0,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021
CeO2,oxidase,NOT_DETECTED,5,5,5,poly(acrylic acid),3.8,mM,0.7,mM/s,text,TMB,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,5,μM,4,NOT_DETECTED,10.1002/anie.200805279,anie.200805279.pdf,0,Oxidase-Like Activity of Polymer-Coated Cerium Oxide Nanoparticles,Angewandte Chemie International Edition,2009
CeO2,oxidase,NOT_DETECTED,12,12,12,poly(acrylic acid),1.9,mM,0.6,mM/s,text,TMB,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,5,μM,4,NOT_DETECTED,10.1002/anie.200805279,anie.200805279.pdf,0,Oxidase-Like Activity of Polymer-Coated Cerium Oxide Nanoparticles,Angewandte Chemie International Edition,2009
CeO2,oxidase,NOT_DETECTED,14,14,14,dextran,1.8,mM,0.5,mM/s,text,TMB,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,5,μM,4,NOT_DETECTED,10.1002/anie.200805279,anie.200805279.pdf,0,Oxidase-Like Activity of Polymer-Coated Cerium Oxide Nanoparticles,Angewandte Chemie International Edition,2009
CeO2,oxidase,NOT_DETECTED,100,100,100,dextran,0.8,mM,0.3,mM/s,text,TMB,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,5,μM,4,NOT_DETECTED,10.1002/anie.200805279,anie.200805279.pdf,0,Oxidase-Like Activity of Polymer-Coated Cerium Oxide Nanoparticles,Angewandte Chemie International Edition,2009
CeO2,oxidase,NOT_DETECTED,5,5,5,poly(acrylic acid),1.3,mM,0.1,mM/s,text,TMB,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,5,μM,7,NOT_DETECTED,10.1002/anie.200805279,anie.200805279.pdf,0,Oxidase-Like Activity of Polymer-Coated Cerium Oxide Nanoparticles,Angewandte Chemie International Edition,2009
Fe3O4,peroxidase,cubic,175,175,175,citrate,0.098,mM,1.28,μmol/s/g,text,TMB + H2O2,0.01,0.8,0.1,mM,0.05,mg/mL,4,25,10.1038/srep40103,srep40103,0,Single Fe3O4 Nanoparticle Nanozymes as an Efficient Artificial Peroxidase,Scientific Reports,2017
Fe3O4,peroxidase,cubic,117,117,117,citrate,0.19,mM,0.82,μmol/s/g,text,TMB + H2O2,0.01,0.8,0.1,mM,0.05,mg/mL,4,25,10.1038/srep40103,srep40103,0,Single Fe3O4 Nanoparticle Nanozymes as an Efficient Artificial Peroxidase,Scientific Reports,2017
Fe3O4,peroxidase,cubic,68,68,68,citrate,0.26,mM,0.39,μmol/s/g,text,TMB + H2O2,0.01,0.8,0.1,mM,0.05,mg/mL,4,25,10.1038/srep40103,srep40103,0,Single Fe3O4 Nanoparticle Nanozymes as an Efficient Artificial Peroxidase,Scientific Reports,2017
Fe3O4,peroxidase,cubic,33,33,33,citrate,0.31,mM,0.21,μmol/s/g,text,TMB + H2O2,0.01,0.8,0.1,mM,0.05,mg/mL,4,25,10.1038/srep40103,srep40103,0,Single Fe3O4 Nanoparticle Nanozymes as an Efficient Artificial Peroxidase,Scientific Reports,2017
Au-NPFe2O3NC,peroxidase,cubic,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,naked,0.0429,mM,5.882e-08,mol/s,si,TMB + H2O2,0.01,1.0,700,mM,62.5,μg/mL,3.5,25,10.1021/acs.analchem.7b02880,ACS.ANALCHEM.7B02880,0,Gold-Loaded Nanoporous Ferric Oxide Nanocubes with Peroxidase-Mimicking Activity for Electrocatalytic and Colorimetric Detection of Autoantibody,Analytical Chemistry,2017
Au-NPFe2O3NC,peroxidase,cubic,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,naked,138.5,mM,4.77e-08,mol/s,si,H2O2 + TMB,0.01,1100,0.8,mM,62.5,μg/mL,3.5,25,10.1021/acs.analchem.7b02880,ACS.ANALCHEM.7B02880,0,Gold-Loaded Nanoporous Ferric Oxide Nanocubes with Peroxidase-Mimicking Activity for Electrocatalytic and Colorimetric Detection of Autoantibody,Analytical Chemistry,2017
