formula,activity,syngony,length,width,depth,surface,km_value,km_unit,vmax_value,vmax_unit,target_source,reaction_type,c_min,c_max,c_const,c_const_unit,ccat_value,ccat_unit,ph,temperature,doi,pdf,access,title,journal,year
Ir,peroxidase,,2.4,2.4,2.4,,0.12,mM,12.6,10-8 M s-1,si,TMB + H2O2,0,0.25,2,mM,25.0,μg mL−1,4,20,10.1039/D0RA05342B,D0RA05342B,1,Dual enzyme-like activity of iridium nanoparticles and their applications for the detection of glucose and glutathione,RSC Advances,2020
Ir,peroxidase,,2.4,2.4,2.4,,3.27,mM,22.6,10-8 M s-1,si,H2O2 + TMB,0,2.5,0.25,mM,25.0,μg mL−1,4,20,10.1039/D0RA05342B,D0RA05342B,1,Dual enzyme-like activity of iridium nanoparticles and their applications for the detection of glucose and glutathione,RSC Advances,2020
Pd-Ir,peroxidase,cubic,3.3,3.3,3.3,poly(vinylpyrrolidone),0.00027,M,6.3e-07,M s-1,si,TMB + H2O2,0,0.6,2,M,6.7e-12,M,4,,10.1002/cbic.202000147,CBIC.202000147,1,Size Effect in Pdâˆ’Ir Coreâ€Shell Nanoparticles as Nanozymes,ChemBioChem,2020
Pd-Ir,peroxidase,cubic,5.9,5.9,5.9,poly(vinylpyrrolidone),0.00064,M,1.3e-06,M s-1,si,TMB + H2O2,0,0.6,2,M,3.8e-12,M,4,,10.1002/cbic.202000147,CBIC.202000147,1,Size Effect in Pdâˆ’Ir Coreâ€Shell Nanoparticles as Nanozymes,ChemBioChem,2020
Pd-Ir,peroxidase,cubic,9.8,9.8,9.8,poly(vinylpyrrolidone),0.0004,M,8.9e-07,M s-1,si,TMB + H2O2,0,0.6,2,M,9.3e-12,M,4,,10.1002/cbic.202000147,CBIC.202000147,1,Size Effect in Pdâˆ’Ir Coreâ€Shell Nanoparticles as Nanozymes,ChemBioChem,2020
Pd-Ir,peroxidase,cubic,13,13,13,poly(vinylpyrrolidone),0.00034,M,7.2e-07,M s-1,si,TMB + H2O2,0,0.6,2,M,6e-12,M,4,,10.1002/cbic.202000147,CBIC.202000147,1,Size Effect in Pdâˆ’Ir Coreâ€Shell Nanoparticles as Nanozymes,ChemBioChem,2020
Fe2O3,peroxidase,,,,,,0.298,mM,7.36,10-8 M s-1,si,TMB + H2O2,0.01,1,700,mM,5.0,μg,3.5,,10.1039/C8TB01132J,C8TB01132J,1,Porous nanozymes: the peroxidase-mimetic activity of mesoporous iron oxide for the colorimetric and electrochemical detection of global DNA methylation,Journal of Materials Chemistry B,2018
Fe2O3,peroxidase,,,,,,146.7,mM,6.37,10-8 M s-1,si,H2O2 + TMB,10,1000,800,μM,5.0,μg,3.5,,10.1039/C8TB01132J,C8TB01132J,1,Porous nanozymes: the peroxidase-mimetic activity of mesoporous iron oxide for the colorimetric and electrochemical detection of global DNA methylation,Journal of Materials Chemistry B,2018
Au,peroxidase,cubic,13,13,13,,1.831,mM,1.1,10-8 M s-1,si,TMB + H2O2,0.05,1,10,mM,0.654,μM,4,60,10.1016/j.jcis.2021.06.170,J.JCIS.2021.06.170,1,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021
Au,peroxidase,cubic,13,13,13,,3.133,mM,1.01,10-8 M s-1,si,H2O2 + TMB,0.25,10,2,mM,0.654,μM,4,60,10.1016/j.jcis.2021.06.170,J.JCIS.2021.06.170,1,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021
Au@Pt,peroxidase,cubic,25,25,25,,0.158,mM,38.4,10-8 M s-1,si,TMB + H2O2,0.05,1,10,mM,0.654,μM,4,60,10.1016/j.jcis.2021.06.170,J.JCIS.2021.06.170,1,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021
Au@Pt,peroxidase,cubic,25,25,25,,6.794,mM,133.0,10-8 M s-1,si,H2O2 + TMB,0.25,10,2,mM,0.654,μM,4,60,10.1016/j.jcis.2021.06.170,J.JCIS.2021.06.170,1,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021
Cerium Oxide,oxidase,,5,5,5,poly(acrylic acid),3.8,mM,0.7,μM s-1,text,TMB,,,,,5.0,μM,4,,10.1002/anie.200805279,ANIE.200805279,1,Oxidase‐Like Activity of Polymer‐Coated Cerium Oxide Nanoparticles,Angewandte Chemie International Edition,2009
Cerium Oxide,oxidase,,5,5,5,poly(acrylic acid),6.9,mM,0.36,μM s-1,text,TMB,,,,,5.0,μM,5,,10.1002/anie.200805279,ANIE.200805279,1,Oxidase‐Like Activity of Polymer‐Coated Cerium Oxide Nanoparticles,Angewandte Chemie International Edition,2009
Cerium Oxide,oxidase,,5,5,5,poly(acrylic acid),2.4,mM,0.1,μM s-1,text,TMB,,,,,5.0,μM,6,,10.1002/anie.200805279,ANIE.200805279,1,Oxidase‐Like Activity of Polymer‐Coated Cerium Oxide Nanoparticles,Angewandte Chemie International Edition,2009
Cerium Oxide,oxidase,,5,5,5,poly(acrylic acid),1.3,mM,0.1,μM s-1,text,TMB,,,,,5.0,μM,7,,10.1002/anie.200805279,ANIE.200805279,1,Oxidase‐Like Activity of Polymer‐Coated Cerium Oxide Nanoparticles,Angewandte Chemie International Edition,2009
Cerium Oxide,oxidase,,12,12,12,poly(acrylic acid),1.9,mM,0.6,μM s-1,text,TMB,,,,,5.0,μM,4,,10.1002/anie.200805279,ANIE.200805279,1,Oxidase‐Like Activity of Polymer‐Coated Cerium Oxide Nanoparticles,Angewandte Chemie International Edition,2009
Cerium Oxide,oxidase,,14,14,14,dextran,1.8,mM,0.5,μM s-1,text,TMB,,,,,5.0,μM,4,,10.1002/anie.200805279,ANIE.200805279,1,Oxidase‐Like Activity of Polymer‐Coated Cerium Oxide Nanoparticles,Angewandte Chemie International Edition,2009
Cerium Oxide,oxidase,,100,100,100,dextran,0.8,mM,0.3,μM s-1,text,TMB,,,,,5.0,μM,4,,10.1002/anie.200805279,ANIE.200805279,1,Oxidase‐Like Activity of Polymer‐Coated Cerium Oxide Nanoparticles,Angewandte Chemie International Edition,2009
Au0.75Pt0.25,oxidase,cubic,20,20,20,,0.02,mM,6.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017
Au0.5Pt0.5,oxidase,cubic,25,25,25,,0.048,mM,17.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017
Au0.25Pt0.75,oxidase,cubic,30,30,30,,0.16,mM,173.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017
Au0.15Pt0.85,oxidase,cubic,40,40,40,,0.23,mM,181.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017
Pt,oxidase,cubic,45,45,45,,0.53,mM,327.0,nMs-1,si_fig,TMB,,,,,1.3,μg/mL,,,10.1038/srep40103,SREP40103,1,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017
Au0.02/Fe2O3,peroxidase,,,,,,0.0429,mM,5.882,10-8 M s-1,si,TMB + H2O2,0.01,1,700,mM,5.0,μg,3.5,25,10.1021/acs.analchem.7b02880,ACS.ANALCHEM.7B02880,1,Gold-Loaded Nanoporous Ferric Oxide Nanocubes with Peroxidase-Mimicking Activity for Electrocatalytic and Colorimetric Detection of Autoantibody,Analytical Chemistry,2017
Au0.02/Fe2O3,peroxidase,,,,,,138.5,mM,4.77,10-8 M s-1,si,H2O2 + TMB,10,1100,800,μM,5.0,μg,3.5,25,10.1021/acs.analchem.7b02880,ACS.ANALCHEM.7B02880,1,Gold-Loaded Nanoporous Ferric Oxide Nanocubes with Peroxidase-Mimicking Activity for Electrocatalytic and Colorimetric Detection of Autoantibody,Analytical Chemistry,2017
