formula,activity,syngony,length,width,depth,surface,km_value,km_unit,vmax_value,vmax_unit,target_source,reaction_type,c_min,c_max,c_const,c_const_unit,ccat_value,ccat_unit,ph,temperature,doi,pdf,access,title,journal,year
Ir,peroxidase,NOT_DETECTED,2.4,2.4,NOT_DETECTED,naked,0.12,mM,1.256e-07,mol/s,NOT_DETECTED,TMB + H2O2,NOT_DETECTED,NOT_DETECTED,2,mM,0.12,µg/mL,4.0,20,10.1039/d0ra05342b,d0ra05342b.pdf,Open Access,Dual enzyme-like activity of iridium nanoparticles and their applications for the detection of glucose and glutathione,RSC Advances,2020
Ir,peroxidase,NOT_DETECTED,2.4,2.4,NOT_DETECTED,naked,3.27,mM,2.257e-07,mol/s,NOT_DETECTED,H2O2 + TMB,NOT_DETECTED,NOT_DETECTED,0.25,mM,0.12,µg/mL,4.0,20,10.1039/d0ra05342b,d0ra05342b.pdf,Open Access,Dual enzyme-like activity of iridium nanoparticles and their applications for the detection of glucose and glutathione,RSC Advances,2020
Ir,peroxidase,NOT_DETECTED,2.4,2.4,NOT_DETECTED,naked,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,TMB + H2O2 + GSH,0.0002,0.1,2,mM,0.25,µg/mL,4.0,20,10.1039/d0ra05342b,d0ra05342b.pdf,Open Access,Dual enzyme-like activity of iridium nanoparticles and their applications for the detection of glucose and glutathione,RSC Advances,2020
Ir,peroxidase,NOT_DETECTED,2.4,2.4,NOT_DETECTED,naked,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,TMB + H2O2 (produced from glucose + GOD),0.01,2,NOT_DETECTED,NOT_DETECTED,0.5,µg/mL,4.0,20,10.1039/d0ra05342b,d0ra05342b.pdf,Open Access,Dual enzyme-like activity of iridium nanoparticles and their applications for the detection of glucose and glutathione,RSC Advances,2020
Pd-Ir,peroxidase,cubic,3.3,3.3,3.3,polyvinylpyrrolidone,0.00027,M,6.3e-07,M/s,"Pd-Ir NPs of 3.3 nm diameter, synthesized via seed-mediated growth using 2.3 nm Pd seeds",TMB + H2O2,NOT_DETECTED,NOT_DETECTED,2.0,M,6.7e-12,M,4.0,25,10.1002/cbic.202000147,cbic.202000147.pdf,open,Size Effect in Pd-Ir Core-Shell Nanoparticles as Nanozymes,ChemBioChem,2020
Pd-Ir,peroxidase,cubic,5.9,5.9,5.9,polyvinylpyrrolidone,0.00064,M,1.3e-06,M/s,"Pd-Ir NPs of 5.9 nm diameter, synthesized via seed-mediated growth using 4.8 nm Pd seeds",TMB + H2O2,NOT_DETECTED,NOT_DETECTED,2.0,M,3.8e-12,M,4.0,25,10.1002/cbic.202000147,cbic.202000147.pdf,open,Size Effect in Pd-Ir Core-Shell Nanoparticles as Nanozymes,ChemBioChem,2020
Pd-Ir,peroxidase,cubic,9.8,9.8,9.8,polyvinylpyrrolidone,0.0004,M,8.9e-07,M/s,"Pd-Ir NPs of 9.8 nm diameter, synthesized via seed-mediated growth using 8.7 nm Pd seeds",TMB + H2O2,NOT_DETECTED,NOT_DETECTED,2.0,M,9.3e-13,M,4.0,25,10.1002/cbic.202000147,cbic.202000147.pdf,open,Size Effect in Pd-Ir Core-Shell Nanoparticles as Nanozymes,ChemBioChem,2020
Pd-Ir,peroxidase,cubic,13.0,13.0,13.0,polyvinylpyrrolidone,0.00034,M,7.2e-07,M/s,"Pd-Ir NPs of 13.0 nm diameter, synthesized via seed-mediated growth using 12.1 nm Pd seeds",TMB + H2O2,NOT_DETECTED,NOT_DETECTED,2.0,M,6e-13,M,4.0,25,10.1002/cbic.202000147,cbic.202000147.pdf,open,Size Effect in Pd-Ir Core-Shell Nanoparticles as Nanozymes,ChemBioChem,2020
Fe2O3,peroxidase,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,mesoporous,146.7,mM,6.37e-07,mol/s,NOT_DETECTED,H2O2 + TMB,NOT_DETECTED,NOT_DETECTED,0.8,mM,0.0167,mg/mL,3.5,NOT_DETECTED,10.1039/C8TB01132J,C8TB01132J.pdf,open,Peroxidase-mimetic activity of mesoporous Fe2O3 nanomaterials in global DNA methylation detection using naked eye and electrochemical readout,Journal of Materials Chemistry B,2018
Fe2O3,peroxidase,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,NOT_DETECTED,mesoporous,0.298,mM,7.36e-07,mol/s,NOT_DETECTED,TMB + H2O2,NOT_DETECTED,NOT_DETECTED,700,mM,0.0167,mg/mL,3.5,NOT_DETECTED,10.1039/C8TB01132J,C8TB01132J.pdf,open,Peroxidase-mimetic activity of mesoporous Fe2O3 nanomaterials in global DNA methylation detection using naked eye and electrochemical readout,Journal of Materials Chemistry B,2018
